Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.60055096418734,-4.62772050400916,-7.4250936329588,-6.714859437751,-20.6793279766253,-24.0230621396541,4.56876456876456,3.8525012893244,6.50672645739911,-0.0211505922165819,-5.0080971659919,-12.782640408461,-1.12713854411271,-25.2778858625162,11.0584551148225,16.279234167894,-17.3419703872438,-8.09893413500955,12.0141228939544,4.44802674008415,12.5739581941502,9.64531608595869,0.00393004519551947,6.72281776416538,-18.7522768670309,-9.87717069038543,3.473616748558,-12.1425426991604,-4.85473566853484,3.73558223981902,4.55750971368682,0.954698641469239,-0.460226558402864,2.51699526521205,-12.1245509175271,2.53539906795706
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,-2.69339115744371,1.47183064886517,-5.91585360700476,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.32567483145964,2.28409163968398,-3.69523793547306,-12.3522288386018,-25.4913420103216,-24.7759206843917,-15.7313941322128,-20.9660149559655,-15.0306844807132,-18.8126149341584,-21.1567929794082,-20.0583840310102,-15.571982830434,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,2.58156403265246,-4.28446388548005,5.52952841554395,-5.34823355013759,-1.29397822224521,-2.09729209553378,-5.465973,-8.84439959377916,-11.5883584424603,-7.65604828196431,-5.32696076591876,43.3986736530575,-11.5519926947846,-28.6975731367781,-27.7983328549784,8.71506365625718,-16.012978916934,-0.981927016546037,-4.03958235181778,2.89247747698625,13.8970921801467,20.4078149120781,16.2123883977719,8.12554758605565,-10.7693882086902,9.18726768886985,11.9563657567829,11.0731066379161,6.10567727285639,-2.73054239589034,-11.778175079742,-6.19013856059911,-0.917560877211147,9.51578137262661,7.41229380873408,1.6261337138106,12.4613017809882
Albania,,,,,,,,,,,,,,,,,,,,,,,,,-1.51291794065729,-1.91876847948004,-0.1525752133222,0.249904333497333,-1.3211544989028,-1.74427120088412,-5.83174096323551,-15.2788523176905,-7.77398715257513,1.25704931694863,-8.36278863618895,-0.480615551651797,-3.35350086882662,-12.0536114950924,-2.55580935849998,-4.83792386732012,-4.49092085179739,-5.542947808941,-9.37243799545941,-7.24966532306394,-4.9817826166736,-7.09724458992434,-7.5415777369357,-10.7781030969354,-15.6285289440749,-15.3804845341148,-11.3658694605047,-12.9330972215394,-10.2001793445114,-9.27419068561388,-10.7753990397848,-8.60488272198021,-7.59082599857198,-7.54425011918846,-6.70491801262702,-7.91370874283163,-8.68751403281974,-7.50279800843676
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0109491864705,15.5263174080982,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,1.27224225636723,1.98305770943701,3.19543437678718,-0.740769310961666,-6.20306739740758,-5.98905581142535,-2.7909739553226,-2.3427783479647,-3.15455411036641,-1.07672004820033,-2.57719778348358,-3.81166877221693,-1.24557455367687,-1.7028351008922,3.22032099029614,-0.341028912950146,-2.42483853719518,-3.46617829462143,-4.26485898465452,-1.9834602735093,-2.4875930110115,-4.14468006629108,-4.8443160454196,-4.21229506178187,-3.15992237703676,-1.40694788500181,8.97078467784247,6.37990680177011,1.95058324319273,2.65363142179073,2.79449564264943,2.1036160391819,1.49940141614234,2.1785669619099,-0.383118699737132,-1.00727103856271,-0.39159512386959,-2.37749566620574,-1.74400211981355,-2.96292666513535,-2.7092262729721,-4.83995717253181,-5.16055404098129,-0.779998577162281,0.809447656023901,1.37667730161829
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.63799855869866,-7.89106326080447,-15.0292437935751,-20.1762879448727,-20.4782136117306,-21.9751034634072,-16.9355704119467,-15.7812102966465,-10.4398165717153,-6.2201045971038,-6.18119850537565,-2.20435917633131,-2.52832391913202,-2.39537307018263,-7.3566009937396,-14.2246479360543,-16.4837122757881,-13.6219495016022,-10.4403286979452,-9.96233223726517,-7.31624569547426,-7.76786653784116,-2.66180701686048,-0.956578066211695,-1.50884217330895,-7.4196555685375,-7.32034023100743,-3.77963994775691,-3.71626208812326
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
