Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.97747895956,270.6023636734,244.96669067826,206.35600651512,22.984643500368,20.136631360177,19.057075724746,16.24726136634,7.6969493197459,7.5010843705695,6.7594678790855,6.9044791707453,8.7002910496839,9.1540828566464,8.4372660972379,7.9976601991653,7.3844129423332,6.1304099028921,7.3974947301984,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.629862969818,29.359587066585,34.690089765447,51.409342830751,57.010235421352,57.789526360171,63.376462909472,60.60972921391,64.097401602148,60.239905797159,57.472884058149,58.19955339663,56.690318213681,53.550124242207,55.1402107888,59.670180353975,57.710250679198,59.399811851413,62.119952892244,65.530001744397,70.03000161695,72.670075998401,72.380044239677,70.119932170183,67.610016523194,65.729867910898,74.44966942856,73.167065915823
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.036096494914,31.825922550513,27.508746545698,33.391847229557,32.52191582883,36.624594805754,43.309343858322,54.442418860373,70.341860544803,65.195201079916,55.597248671699,44.725413348559,44.502892524372,46.755339829425,47.312109538254,47.049715503161,60.534621034051,69.380599822099,83.468787146084,78.435242634044,69.043442878483,71.651909015093,70.125422386072,97.528608641164,97.990658344561,104.04148025676,98.409147315175,86.346374649306,86.703587084741,75.618600777816,57.960343475203,54.267335998675,51.276329764747,41.38895109571,35.210855476411,26.311384665432,23.635619868682,13.505943268977,8.0564280246558,9.7747363734421,10.491601103391,9.2543048817602,9.3256582889152,7.0935111316869,7.6583201459202,8.7333137124338,20.438286858175,26.80830308742,38.256150760653,46.044366164889,52.272700197983,62.986813544857
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.60198879354,120.9567146372,96.592502645079,126.674450569,137.83283264549,133.91413964311,113.50458385052,73.736175031322,57.967839676148,47.717067303095,33.464041827688,18.728790332818,21.043494453754,31.378232429784,56.302246947395,37.162840249101,29.557715017954,26.690559676904,33.149103637934,39.809856914509,57.093048224126,75.662637315019,69.322867576341,92.995001210986,113.55417481024,136.54012460194,86.41135997692
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.070485804709,99.074392143392,95.479357783878,90.146321602626,89.655473375748,98.32245927963,91.673631119709,87.022284400911,102.60881397553,104.60257110237,105.13237316394,117.95075076009,126.30035850334,125.0759935136,120.12706917681,92.614383107832,89.100896767733,77.784016047714,75.989197693562,100.63198454374,89.741995833675,91.803007879411,87.494089214648,95.791047826609,101.3691319548,99.071287754228,86.12589357898,92.19273211412,87.699587349339,81.250836610723,101.47695609497,101.37300341767
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.589324707034,15.49872516179,14.669706594774,12.362077943769,10.055804072638,8.6722034897163,8.8538425205429,12.450864631229,14.021019048957,15.777066020554,11.069676953463,11.992125049812,31.178655352037,26.48623999759,23.159408419461,16.143509711062,11.439822367342,10.518021054215,24.445939239521,50.917283238251,59.229086111582,50.370022507662,62.64001124312,51.569572464831,68.35967022131,56.643502189307,109.0433514439,44.742830176601,32.934413630484,27.768230675333,26.892713909431,28.425983266469,30.749379867633,32.550752715206,31.675798728363,34.146879991671,38.916986260079,40.832838854736,48.006618710089,147.20254831746,125.16163417111,117.8778483555,80.28179898102,70.792689563797,62.132710768967,53.813851619113,55.397080355144,43.454315478587,38.934854420503,40.436048010475,43.496069782894,44.696850201948,52.562643306271,53.060179552391,57.027841921981,85.246310857091,88.835021225608,102.78970201143,80.93246810001
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.791922320737,46.514592221637,45.200305187951,39.200377867883,39.597115994622,38.061115937776,38.247603800748,33.015776004498,26.445877922878,20.467166539007,16.182896548859,14.249503482741,14.631834889808,34.137963170501,33.757017153733,35.702397551447,35.600487267212,36.330624679849,39.361633579325,44.132990913389,51.928903421042,53.70443393061,51.232560196297,50.08589638625,63.476258231461,60.247936480207
Australia,109.68958272723,86.999448544281,85.972528745225,79.777876633539,76.76285554594,74.898690839828,71.739901383611,67.649868026225,65.97768107454,62.320376568007,48.283639404843,49.32423482476,50.275843576853,47.535606573574,44.962413520913,43.691312815253,42.434880419169,40.49025279403,39.451173009983,36.760622259991,34.925440854808,32.254639103036,30.688223252745,27.331612024203,22.341989800824,23.611056594777,22.957272506041,23.613116326838,24.705905606876,22.863460820683,21.219590733576,19.111605364475,16.821085401951,20.975521463222,22.289439940179,24.005595621253,25.491039992757,25.225782789092,20.498776990621,16.006497955878,12.085033384805,11.91733383488,14.278104739348,17.698301374223,19.906278554904,22.137037849138,21.396560176034,20.524958843385,16.293879770106,15.448117831393,13.70323261198,11.988502138196,10.314738099929,8.974949118598,8.0802566027435,7.346617947416,6.551872885289,6.0707579887696,7.6031624023696,11.493436097901,14.2412442229,16.988564730576,19.236659108836,21.245223906575,24.59558108026,28.45178529359,31.6165711373,32.369447496033,32.920324682937,36.543507369498,43.726012503121,43.95367884225
Austria,20.926788045546,14.439415699053,12.841726051522,15.711376761233,13.668105152537,11.378485868572,10.454996473207,7.9466131355119,10.918442883953,12.99501472196,13.128938479187,11.847560704705,11.480847469084,11.594311414418,11.543159320255,10.992227452133,10.448452696103,11.601727692539,12.440100593361,12.472418205496,11.991961985235,10.591753655656,9.8632866256937,9.8265973346701,9.4249197836248,14.51583395088,17.520468735434,19.485272760097,22.331153322761,23.724794420697,24.981424499235,26.530186521961,28.591065266766,32.69018392114,35.149319748289,37.312948065764,41.662678214127,45.372889047618,45.361075009745,45.444268719659,45.530720183926,46.221933921537,46.28271909803,50.044148558672,52.726307910556,55.248115039492,55.611676951125,56.834379129712,56.839792489404,57.872775454181,56.508138332934,55.056342818275,54.668593730222,54.721224863874,55.931896365685,55.624913903375,54.238896829415,51.89697793491,55.136830201602,58.572628288516,59.740463391604,59.06453000465,59.484750030676,59.875237025571,58.896382097824,57.836408881071,58.094617570077,57.190537841217,54.914861273522,52.517807347331,62.736376563783,62.903401059479
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.672946965902,19.209110507077,16.72123521498,12.465675187524,14.290774871697,25.413739311481,22.837185562902,24.387309350752,23.017660212703,21.828259349072,9.7099795076428,6.8546552004941,5.2966483759243,4.0033179093324,3.2207651862865,4.7261823793929,4.9808659366537,4.9668636957106,5.8306015121375,6.1788358083256,8.5326238983565,17.980392239794,20.608325615803,22.508608458041,18.685386805174,17.656182895395,21.327232319391,26.446810549906
